,item,is_val
0,fine_arts_palace/1571,False
1,fine_arts_palace/8144,False
2,fine_arts_palace/1380,False
3,fine_arts_palace/9825,False
4,fine_arts_palace/5900,False
5,fine_arts_palace/7027,False
6,fine_arts_palace/7702,False
7,fine_arts_palace/6500,False
8,fine_arts_palace/5168,False
9,fine_arts_palace/133,False
10,fine_arts_palace/5540,False
11,fine_arts_palace/8857,False
12,fine_arts_palace/7013,False
13,fine_arts_palace/7804,False
14,fine_arts_palace/5592,False
15,fine_arts_palace/9753,False
16,fine_arts_palace/7232,False
17,fine_arts_palace/3097,False
18,fine_arts_palace/3785,False
19,fine_arts_palace/8985,False
20,fine_arts_palace/4964,False
21,fine_arts_palace/853,False
22,fine_arts_palace/4322,False
23,fine_arts_palace/2200,False
24,fine_arts_palace/1922,False
25,fine_arts_palace/9308,False
26,fine_arts_palace/8810,False
27,fine_arts_palace/4143,False
28,fine_arts_palace/6602,False
29,fine_arts_palace/8949,False
30,fine_arts_palace/3698,False
31,fine_arts_palace/1061,False
32,fine_arts_palace/3046,False
33,fine_arts_palace/5720,False
34,fine_arts_palace/7938,False
35,fine_arts_palace/2166,False
36,fine_arts_palace/7085,False
37,fine_arts_palace/2457,False
38,fine_arts_palace/1464,False
39,fine_arts_palace/9437,False
40,fine_arts_palace/1862,False
41,fine_arts_palace/6382,False
42,fine_arts_palace/6337,False
43,fine_arts_palace/5041,False
44,fine_arts_palace/8505,False
45,fine_arts_palace/3113,False
46,fine_arts_palace/6355,False
47,fine_arts_palace/652,False
48,fine_arts_palace/2527,False
49,fine_arts_palace/1726,False
50,fine_arts_palace/5844,False
51,fine_arts_palace/3498,False
52,fine_arts_palace/6962,False
53,fine_arts_palace/4565,False
54,fine_arts_palace/9668,False
55,fine_arts_palace/8344,False
56,fine_arts_palace/1577,False
57,fine_arts_palace/6764,False
58,fine_arts_palace/4263,False
59,fine_arts_palace/9635,False
60,fine_arts_palace/8958,False
61,fine_arts_palace/307,False
62,fine_arts_palace/6405,False
63,fine_arts_palace/4235,False
64,fine_arts_palace/4350,False
65,fine_arts_palace/5892,False
66,fine_arts_palace/1807,False
67,fine_arts_palace/5740,False
68,fine_arts_palace/2526,False
69,fine_arts_palace/1314,False
70,fine_arts_palace/35,False
71,fine_arts_palace/7910,False
72,fine_arts_palace/2715,False
73,fine_arts_palace/1282,False
74,fine_arts_palace/7431,False
75,fine_arts_palace/7216,False
76,fine_arts_palace/6670,False
77,fine_arts_palace/5181,False
78,fine_arts_palace/7292,False
79,fine_arts_palace/4310,False
80,fine_arts_palace/4460,False
81,fine_arts_palace/3535,False
82,fine_arts_palace/3724,False
83,fine_arts_palace/8135,False
84,fine_arts_palace/6193,False
85,fine_arts_palace/9503,False
86,fine_arts_palace/5837,False
87,fine_arts_palace/3751,False
88,fine_arts_palace/1379,False
89,fine_arts_palace/4380,False
90,fine_arts_palace/6798,False
91,fine_arts_palace/826,False
92,fine_arts_palace/7447,False
93,fine_arts_palace/9126,False
94,fine_arts_palace/4657,False
95,fine_arts_palace/8455,False
96,fine_arts_palace/6160,False
97,fine_arts_palace/9472,False
98,fine_arts_palace/1142,False
99,fine_arts_palace/3574,False
100,fine_arts_palace/1663,False
101,fine_arts_palace/824,False
102,fine_arts_palace/6387,False
103,fine_arts_palace/6596,False
104,fine_arts_palace/5839,False
105,fine_arts_palace/5127,False
106,fine_arts_palace/429,False
107,fine_arts_palace/6167,False
108,fine_arts_palace/4305,False
109,fine_arts_palace/3143,False
110,fine_arts_palace/9941,False
111,fine_arts_palace/4983,False
112,fine_arts_palace/4653,False
113,fine_arts_palace/6638,False
114,fine_arts_palace/5632,False
115,fine_arts_palace/9663,False
116,fine_arts_palace/6198,False
117,fine_arts_palace/2117,False
118,fine_arts_palace/7448,False
119,fine_arts_palace/23,False
120,fine_arts_palace/4776,False
121,fine_arts_palace/9844,False
122,fine_arts_palace/9557,False
123,fine_arts_palace/493,False
124,fine_arts_palace/815,False
125,fine_arts_palace/7798,False
126,fine_arts_palace/7438,False
127,fine_arts_palace/9738,False
128,fine_arts_palace/7087,False
129,fine_arts_palace/8076,False
130,fine_arts_palace/5072,False
131,fine_arts_palace/5103,False
132,fine_arts_palace/3911,False
133,fine_arts_palace/6294,False
134,fine_arts_palace/9244,False
135,fine_arts_palace/8898,False
136,fine_arts_palace/8301,False
137,fine_arts_palace/6665,False
138,fine_arts_palace/1469,False
139,fine_arts_palace/3094,False
140,fine_arts_palace/9950,False
141,fine_arts_palace/7639,False
142,fine_arts_palace/6343,False
143,fine_arts_palace/6186,False
144,fine_arts_palace/8802,False
145,fine_arts_palace/7350,False
146,fine_arts_palace/6455,False
147,fine_arts_palace/3793,False
148,fine_arts_palace/2549,False
149,fine_arts_palace/6819,False
150,fine_arts_palace/8193,False
151,fine_arts_palace/6332,False
152,fine_arts_palace/3596,False
153,fine_arts_palace/2692,False
154,fine_arts_palace/2124,False
155,fine_arts_palace/6306,False
156,fine_arts_palace/2114,False
157,fine_arts_palace/7459,False
158,fine_arts_palace/9498,False
159,fine_arts_palace/7152,False
160,fine_arts_palace/6234,False
161,fine_arts_palace/7057,False
162,fine_arts_palace/4178,False
163,fine_arts_palace/4016,False
164,fine_arts_palace/5709,False
165,fine_arts_palace/9225,False
166,fine_arts_palace/5097,False
167,fine_arts_palace/7563,False
168,fine_arts_palace/5484,False
169,fine_arts_palace/4605,False
